Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,ig_url,posts,Followers,Following,category,distinct_following
1,蔡阿嘎,75,43,41,37.69,0.013317,https://www.instagram.com/yga0721/,8178,1495461,501,趣味搞笑,500
2,Joeman,93,85,77,46.73,0.049715,https://www.instagram.com/joemanweng/,1615,666819,996,"美食料理,3C科技,趣味搞笑",985
3,黃阿瑪的後宮生活,29,18,12,14.57,0.001995,https://www.instagram.com/fumeancat/,4550,1050878,159,寵物,159
4,千千進食中,90,72,68,45.23,0.033026,https://www.instagram.com/khshu_/,1002,891802,974,美食料理,962
5,小象愛出門,8,11,5,4.02,0.000413,https://www.instagram.com/elephant_gogo/,1888,183273,1129,"美食料理,旅遊",1127
6,那對夫妻,14,2,2,7.04,0.004823,https://www.instagram.com/1006nk/,3146,1030978,3,"趣味搞笑,家庭母嬰,表演藝術",42
7,How-Fun-如何爽,73,8,6,36.68,0.001598,https://www.instagram.com/howhowhasfriends,1921,523443,103,趣味搞笑,103
8,PanSci-泛科學,10,18,3,5.03,0.000996,https://www.instagram.com/pansci/,1453,283652,399,知識教育,397
9,一隻阿圓,80,45,44,40.2,0.013103,https://www.instagram.com/nanaciaociao/,3373,563686,593,"美妝保養,時尚潮流,旅遊",590
10,欸你這週要幹嘛,45,47,38,22.61,0.006803,https://www.instagram.com/arielsvlog_816/,1411,708449,473,趣味搞笑,472
11,77老大,32,39,25,16.08,0.004887,https://www.instagram.com/zamy_ding/,1054,395721,591,"醫療健康,知識教育",586
12,那個女生-Kiki,35,42,31,17.59,0.003789,https://www.instagram.com/minikiki_0529/,1099,289658,511,"美食料理,知識教育",505
13,阿滴英文,110,118,99,55.28,0.101873,https://www.instagram.com/rayduenglish/,1570,1089513,2228,知識教育,2227
14,好味小姐,26,18,12,13.07,0.003483,https://www.instagram.com/ladyflavor/,2094,395768,112,"美食料理,寵物",217
15,廉傑克曼,72,74,54,36.18,0.031104,https://www.instagram.com/jaychang0127/,1855,415002,4032,遊戲電玩,4006
16,江老師,27,22,17,13.57,0.007477,https://www.instagram.com/teacherchiang,1922,308786,624,"表演藝術,時尚潮流,家庭母嬰",621
17,那些電影教我的事,20,2,1,10.05,0.000158,https://www.instagram.com/lessonsfrommovies/,6816,1484140,87,影視評論,87
18,豆漿--Soybean-Milk,9,7,5,4.52,0.000214,https://www.instagram.com/soybeanmilk_cat/,2242,433921,34,寵物,34
19,Onion-man-洋蔥先生與阿文,66,82,60,33.17,0.027062,https://www.instagram.com/onionman__/,1177,458424,925,"表演藝術,趣味搞笑",921
20,人類超有病-Baxuan,30,40,26,15.08,0.006712,https://www.instagram.com/baxuan_ig/,1066,742233,2830,"表演藝術,趣味搞笑",2828
21,大蛇丸,64,53,47,32.16,0.011039,https://www.instagram.com/jam_cutepig/,882,551530,390,趣味搞笑,378
22,Andy老師,52,7,7,26.13,0.001756,https://www.instagram.com/andy1994x/,391,1241259,57,"趣味搞笑,表演藝術",57
23,超認真少年-I'm-Serious,29,39,24,14.57,0.003715,https://www.instagram.com/imseriou/,1529,138411,751,知識教育,744
24,三原慧悟-Sanyuan_JAPAN,23,24,18,11.56,0.001614,https://www.instagram.com/sanyuan_japan/,1147,229384,595,"旅遊,趣味搞笑",596
25,貓貓蟲-咖波,17,23,14,8.54,0.00144,https://www.instagram.com/bugcat_capoo/,1735,2136350,291,表演藝術,291
26,Ian&Eric,45,34,25,22.61,0.003899,https://www.instagram.com/thedodomen/,1101,609185,482,"旅遊,趣味搞笑",481
27,黃氏兄弟,43,0,0,21.61,0.0,https://www.instagram.com/huangbrotherss/,476,454084,2,"趣味搞笑,表演藝術",2
28,我得了一種吃菜就會死的病-微疼,26,34,20,13.07,0.004888,https://www.instagram.com/weiteng0710/,1429,322374,1071,"表演藝術,趣味搞笑",1071
