,館長-陳之漢,蔡阿嘎-蔡緯嘉,嘎嫂二伯&蔡波能,蔡桃貴,Cheap-鄭才暐,張志祺（志祺七七-X-圖文不符）,亞拉（貓貓蟲咖波）,歷史哥-李易修,鍾明軒,晚安小雞,寒國人-張紹群,唐綺陽,反骨男孩-WACKYBOYS,丁特-Dinter,八炯-温子渝（攝徒日記Fun-TV）,有感筆電-Daptoper,恩恩老師EanTV,Den,居妮-Ginny,黃明志,Andy老師-王崇睿,呂捷,雨揚（雨揚樂活家族）,叉雞,薔薔-林嘉凌,呱吉-邱威傑,葳老闆-周品均,Inokawa-Hajime井川一,老王-王倚隆,黃氏兄弟,阿滴-都省瑞,張家寧（秘月期POPOO）,蹦闆-呂育銓,亞洲統神-張嘉航,許伯&簡芝（倉鼠人）,琳妲-林羿禎,曾博恩,儒哥,小吳（見習網美小吳）,喬瑟夫-ChillSeph,霸軒-Baxuan（人類超有病）,啾啾鞋,羅時豐,超強系列,關關關兒,王思佳,阿神,洋蔥（Onion-Man）,Lobo-蘿蔔,瑋瑋-黃挺瑋,Eric-Duan,孫沁岳,Ryu,好味小姐-Lady-Flavor,阿格力,霸軒與小美-Baxuan-&-Mei,蓋彼-Gabi,尼克星-潘律星,閩南狼-陳柏源,宏爺（宏爺講股）,志銘與狸貓,蛇丸,千千-Chien-Chien,哲哲-黃雍哲,全民瘋車Bar,蛋哥,小賴-賴晏駒,Our-TV,反正我很閒,老王,白癡公主,6tan,阿部瑪利亞,床編故事-Bad-Time-Stories,小慧就愛吃-シャオホイ,賀瓏-Hello,一隻阿圓,西西歪,超粒方,許廷瑞（超認真少年Imserious）,HowHow-陳孜昊,希露弟弟啃雞腿,愛莉莎莎-Alisasa,清流君,郭哲榮,Bobo&Kira（Bobo-TV）,欣西亞和Shane,林進,Bump-黃煦傑,윤도이-尹到怡,布萊克薛薛,野人七號部落,Ricky&Nina（我們倆）,Will（X調查）,賤葆-J-Bao,龜狗,恩熙俊,多米多羅-Domidolo,溫妮-黃于恩,DE-JuN,滴妹-都冠伶,林海陽,我是賴瑞,HOOK,游庭皓,李永年,冏星人-余玥,懶貓,百靈果,喬老師（MR.JOE-HOBBY.tv）,波特王-陳加晉,鳥屎,卡哇-KAWA,阿鬧,Zack（超級房仲學院）,鐵牛-伍嘉緯,乾杯與小菜,黑男,李芷婷,RuRu（Ru味春捲）,阿津,阿啾,品筠&京燁（那對夫妻）,鄭毓倫（台南Josh）,潔哥-李秉潔,那個女生-Kiki,Zoebitalk肉比頭,理科太太-Li-Ke-Tai-Tai,本本,焦凡凡,令&一粒（壹加壹）,肥波,奎丁,77老大,Charlie-查理,烏鴉DoKa,咪蕾-미래,蔡哥,可可酒精,小許,巧克力,Allen（Men's-Game-玩物誌）,大H,至尊星-Supremestar,谷阿莫,阿翰,泡泡哥哥,國動,小羽動漫xiaoyu,傑克（傑克開吃）,艾爾文,蒼藍鴿的醫學天地,小哥哥艾理-陳玟里,吳卓源-Julia-Wu,韓國女生Judy,中指通,朱宥勳,解婕翎,草爺（含羞草日記）,Crispy-Fried-ABC-鹽酥英語,艾瑞絲-Aries,展榮&展瑞,微疼,詹姆士,茶里,老高與小茉-Mr-&-Mrs-Gao,李勛-SHIN-LI,豹子腿-方昶詠,uzra,紅月,羽毛,錫蘭-Ceylan,鵝肉麵,半瓶醋,塞門-Psyman,尚恩-Shawn,彼得爸與蘇珊媽,游否希,權證小哥,試當真-Trial-&-Error,爆哥-Neal,營養健身葛格Peeta,黑素斯（阿兜仔不教美語）,歐耶老師,Bit-King比特王出任務,丹妮婊姐,Ian與Eric（The-DoDo-Men---嘟嘟人）,劉沛,Celine-and-Cynthia---不只是旅行,咪妃,柴鼠兄弟,尊-朱玉恩（人生肥宅x尊）,哲睿-Jerry,吃飯兄弟DiningBro,夠維根Go-Vegan,股魚（投資嗨什麼）,貝克書,孫建豪（孫安佐）,泱泱-吳泱潾-LYNN,LeeJay李潔
館長-陳之漢,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蔡阿嘎-蔡緯嘉,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
嘎嫂二伯&蔡波能,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
蔡桃貴,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheap-鄭才暐,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
張志祺（志祺七七-X-圖文不符）,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
亞拉（貓貓蟲咖波）,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
歷史哥-李易修,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鍾明軒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
晚安小雞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
