Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,Eigenvector_Centrality,Local_Clustering_Coefficient,Core-periphery_Coreness,ig_url,posts,Followers,Following,category,distinct_following
1,蔡阿嘎,76,43,41,0.38,0.014383,0.166088,0.402292,27,https://www.instagram.com/yga0721/,8178,1495461,501,趣味搞笑,500
2,Joeman,94,86,78,0.47,0.0537,0.173567,0.272018,27,https://www.instagram.com/joemanweng/,1615,666819,996,"美食料理,3C科技,趣味搞笑",985
3,黃阿瑪的後宮生活,29,18,12,0.15,0.002144,0.061458,0.380262,23,https://www.instagram.com/fumeancat/,4550,1050878,159,寵物,159
4,千千進食中,90,72,68,0.45,0.035453,0.177909,0.311956,27,https://www.instagram.com/khshu_/,1002,891802,974,美食料理,962
5,小象愛出門,8,11,5,0.04,0.00044,0.017834,0.478916,13,https://www.instagram.com/elephant_gogo/,1888,183273,1129,"美食料理,旅遊",1127
6,那對夫妻,15,2,2,0.08,0.005212,0.019904,0.220149,13,https://www.instagram.com/1006nk/,3146,1030978,3,"趣味搞笑,家庭母嬰,表演藝術",42
7,How-Fun-如何爽,74,8,6,0.37,0.00173,0.147997,0.34359,27,https://www.instagram.com/howhowhasfriends,1921,523443,103,趣味搞笑,103
8,PanSci-泛科學,10,18,3,0.05,0.00107,0.012329,0.308,20,https://www.instagram.com/pansci/,1453,283652,399,知識教育,397
9,一隻阿圓,80,45,44,0.4,0.01409,0.159432,0.359655,27,https://www.instagram.com/nanaciaociao/,3373,563686,593,"美妝保養,時尚潮流,旅遊",590
10,欸你這週要幹嘛,46,47,38,0.23,0.007495,0.109568,0.43467,27,https://www.instagram.com/arielsvlog_816/,1411,708449,473,趣味搞笑,472
11,77老大,33,40,26,0.17,0.005627,0.075594,0.424865,27,https://www.instagram.com/zamy_ding/,1054,395721,591,"醫療健康,知識教育",586
12,那個女生-Kiki,35,42,31,0.18,0.004046,0.092309,0.5,27,https://www.instagram.com/minikiki_0529/,1099,289658,511,"美食料理,知識教育",505
13,阿滴英文,111,119,100,0.56,0.110309,0.201272,0.228893,27,https://www.instagram.com/rayduenglish/,1570,1089513,2228,知識教育,2227
14,好味小姐,26,18,12,0.13,0.00375,0.0536,0.42773,23,https://www.instagram.com/ladyflavor/,2094,395768,112,"美食料理,寵物",217
15,廉傑克曼,72,74,54,0.36,0.033339,0.152058,0.304624,27,https://www.instagram.com/jaychang0127/,1855,415002,4032,遊戲電玩,4006
16,江老師,27,22,17,0.14,0.008047,0.0499,0.322261,22,https://www.instagram.com/teacherchiang,1922,308786,624,"表演藝術,時尚潮流,家庭母嬰",621
